District,Start,Step 10,Max
Campbell City School District,"35,219","56,350","68,677"
Canfield Local School District,"36,820","55,230","67,012"
Poland Local School District*,"35,298","52,947","61,772"
Jackson-Milton Local School District,"35,066","52,599","61,366"
Boardman Local School District,"33,852","52,471","61,103"
Lowelville Local School District,"35,406","51,835","63,928"
Sebring Local School District,"31,385","51,763","60,451"
Springfield Local School District,"36,067","51,215","59,330"
South Range Local School District*,"34,333","50,812","54,246"
Western Reserve Local School District,"34,726","48,616","58,340"
West Branch Local School District*,"30,819","45,581","51,822"
Austintown Local School District*,"31,844","48,722","56,689"
